"appid","average_2weeks","average_forever","developer","median_2weeks","median_forever","name","negative","owners","owners_variance","players_2weeks","players_2weeks_variance","players_forever","players_forever_variance","positive","price","publisher","score_rank","userscore"
"343830","0","90","Zojoi","0","77","Dj Vu II: MacVenture Series","4","11805","3442","0","0","4984","2236","9","299","Reverb Triple XP","27","70"
"465060","0","27","TRIANGLE SERVICE","0","35","EXZEAL","0","2361","1539","0","0","1312","1147","4","1199","Degica","100","100"
"285130","124","209","The Mustard Corporation","247","195","Battleplan: American Civil War","96","179957","13438","1571","2175","102832","10159","106","999","KISS ltd, Osprey Publishing","10","61"
"448320","101","178","Torrunt","101","151","GIBZ","34","10493","3245","784","1536","9968","3163","156","799","Torrunt","51","81"
"376870","138","883","Telltale Games","87","467","Minecraft: Story Mode - A Telltale Games Series","1851","360176","19008","7870","2810","274919","16608","5944","2499","Telltale Games","39","75"
"96800","0","63","IllFonic","0","19","Nexuiz","85","283051","16852","0","0","104931","10262","168","999","IllFonic, Psyop Games","23","66"
"707750","0","9","The Holodeck","0","9","DrumSim","0","787","888","0","0","787","888","0","199","Revintu","","0"
"603120","168","253","Razzart Visual","168","356","Happy Campers","26","2099","1451","791","1550","2099","1451","18","999","Razzart Visual","4","38"
"395910","0","2","Baller Industries","0","2","Get Rich or Die Gaming","22","6034","2461","0","0","784","1536","4","299","Baller Industries","0","33"
"521100","168","165","RuVe Game Studio","168","200","MinosMaze - The Minotaur's Labyrinth","17","7345","2715","788","1091","5509","2351","16","49","RuVe Game Studio","8","44"
"392940","0","204","RosePortal Games","0","191","Epic Quest of the 4 Crystals","19","18363","4293","0","0","6821","2616","108","999","Aldorlea Games","59","63"
"578850","131","130","rebel rabbit","187","63","64.0","49","15740","3975","1574","1257","14166","3771","528","149","indienova, GrabTheGames","78","90"
"624270","5","526","EQ Studios","5","605","The Painscreek Killings","10","2099","1451","784","1536","1574","1257","52","1999","EQ Studios","53","82"
"264200","90","444","Silver Dollar Games","27","183","One Finger Death Punch","199","693594","26369","24659","4975","544067","23358","13033","499","Silver Dollar Games","99","98"
"277700","228","312","Black Pants Studio","336","149","On Rusty Trails","12","64795","8064","1576","1542","10755","3285","107","1299","Black Pants Studio","70","90"
"450440","0","307","Dopterra","0","524","Creepy Castle","5","3673","1920","0","0","2099","1451","77","1499","Nicalis, Inc.","86","92"
"574120","0","0","Chris Wade","0","0","Sausage Sports Club","0","791","1550","0","0","0","0","0","0","Chris Wade","","0"
"656460","173","2811","Nosebleed Interactive","173","4021","Vostok Inc.","14","2623","1622","784","1536","1312","1147","29","1499","Badland Games","24","61"
"403170","0","13","Interplay","0","15","Titan","3","10493","3245","0","0","1312","1147","5","299","Games For All","18","75"
"459680","0","100","Dinofarm Games","0","100","Auro: A Monster-Bumping Adventure","10","7608","2763","0","0","785","1538","46","199","Dinofarm Games","51","74"
"683430","0","0","Fabio Biancarelli","0","0","ASSASSINATION STATION","0","2361","1539","0","0","0","0","0","299","Fabio Biancarelli","","0"
"584880","0","106","Kongroth","0","106","Pixel Sand","1","3148","1777","0","0","788","1090","20","499","Kongroth","92","100"
"232790","253","445","Double Fine Productions","264","254","Broken Age","1004","592336","24370","2886","1702","358077","18953","5092","1999","Double Fine Productions","53","81"
"347270","0","13","MicroProse Software, Inc","0","20","Knights of the Sky","6","11805","3442","0","0","1574","1257","10","699","Nightdive Studios, Retroism","18","66"
"573550","84","378","DigitalBadger Design","84","378","GoalkeepVr","3","3410","1850","784","1536","784","1536","16","399","DigitalBadger Design","56","93"
"461040","0","338","TECOPARK","0","338","PICO PARK","1","1182","1335","0","0","788","1090","14","499","TECOPARK","86","92"
"519030","1","81","Skydome Studios","1","46","Don't Let Go!","13","8132","2857","1583","2192","4460","2115","26","299","Skydome Studios","23","66"
"356670","330","83","Lag Studios","21","31","Spooky's Jump Scare Mansion","647","1327640","36459","9706","3121","939133","30676","8304","0","Lag Studios","82","92"
"252170","0","245","11 bit studios","0","180","Anomaly Warzone Earth Mobile Campaign","49","122507","11088","0","0","62959","7949","240","499","11 bit studios","53","80"
"672790","0","73","AVRLON VR Studio","0","107","Elemental Combat","0","1182","1335","0","0","1583","2192","0","1999","AVRLON VR Studio","","0"
"499400","0","21","RealityRig","0","27","The Path of Greatest Resistance","7","3148","1777","0","0","2361","1539","40","399","RealityRig","59","85"
"404530","190","2038","L Twigger","232","270","Voxel Turf","32","8919","2992","1574","1257","7870","2810","184","799","L Twigger","59","84"
"353580","9","179","Interceptor Entertainment","9","147","Rad Rodgers: World One","16","7870","2810","784","1536","5247","2295","118","1199","3D Realms, THQ Nordic","67","86"
"716070","0","31","Smokey Moose Games","0","31","Mindset","0","1970","1724","0","0","784","1536","13","99","Smokey Moose Games","100","100"
"46430","0","167","Techland","0","25","Chrome: Specforce","58","77124","8798","0","0","22560","4758","87","499","Meridian4","","0"
"447950","0","174","Fun Infused Games","0","194","Bad Caterpillar","6","18888","4354","0","0","12067","3480","71","199","Fun Infused Games","82","100"
"266010","117","371","Thomas Bowker","34","151","LYNE","237","300103","17352","7083","2666","257081","16060","6682","299","Thomas Bowker","95","96"
"395560","0","405","Animation Arts GmbH","0","442","Lost Horizon 2","42","13903","3735","0","0","5509","2351","32","1499","Deep Silver","5","47"
"357670","16","116","The Stork Burnt Down","16","55","Home Improvisation: Furniture Sandbox","48","13903","3735","785","1086","12067","3480","121","999","The Stork Burnt Down","30","70"
"404680","169","408","Runic Games","86","253","Hob","168","65057","8081","6821","2616","49318","7036","1536","1499","Runic Games","74","89"
"355790","289","670","Cyanide Studio","252","321","Styx: Shards of Darkness","208","91028","9558","4984","2236","68205","8274","929","3999","Focus Home Interactive","49","81"
"436410","0","9","BTD Team","0","9","Beyond The Destiny","17","788","1090","0","0","788","1090","5","0","BTD Team","1","23"
"361690","62","159","Totally Games","62","10","STAR WARS X-Wing vs TIE Fighter - Balance of Power Campaigns","35","299578","17336","1049","1026","49318","7036","96","999","LucasArts, Lucasfilm, Disney Interactive","33","75"
"761640","9","9","Starodymov","9","9","Home Darkness - Escape","0","1971","1725","788","1091","788","1091","0","199","OtakuMaker SARL","","0"
"321040","157","409","Codemasters Racing Studio, Feral Interactive (Mac)","34","134","DiRT 3 Complete Edition","1314","3737644","61024","67681","8242","2228473","47192","13631","299","Codemasters, Feral Interactive (Mac)","78","88"
